Organisation,Type,Code,Protection,Comments
LEA Ellwangen,Asylum Application,,false,
LEA Ellwangen,Dublin,DUBLIN,false,
LEA Ellwangen,Cash,,false,
LEA Ellwangen,Education,,false,
LEA Ellwangen,Family Reunification,,false,
LEA Ellwangen,Food,,false,
LEA Ellwangen,Health,,false,
LEA Ellwangen,Information / Guidance,,false,
LEA Ellwangen,Job Seeking,,false,
LEA Ellwangen,Legal Advice,,false,
LEA Ellwangen,Medication / Treatment,,false,
LEA Ellwangen,Other,,false,
LEA Ellwangen,Protection,,true,
LEA Ellwangen,Psychosocial Support,,false,
LEA Ellwangen,Registration,,false,
LEA Ellwangen,Shelter,,false,
LEA Ellwangen,Support with Paperwork,,false,
DRK Kreisverband Mannheim,Asylum Application,,false,
DRK Kreisverband Mannheim,Cash,,false,
DRK Kreisverband Mannheim,Education,,false,
DRK Kreisverband Mannheim,Family Reunification,,false,
DRK Kreisverband Mannheim,Food,,false,
DRK Kreisverband Mannheim,Health,,false,
DRK Kreisverband Mannheim,Information / Guidance,,false,
DRK Kreisverband Mannheim,Job Seeking,,false,
DRK Kreisverband Mannheim,Legal Advice,,false,
DRK Kreisverband Mannheim,Medication / Treatment,,false,
DRK Kreisverband Mannheim,Other,,false,
DRK Kreisverband Mannheim,Protection,,true,
DRK Kreisverband Mannheim,Psychosocial Support,,false,
DRK Kreisverband Mannheim,Registration,,false,
DRK Kreisverband Mannheim,Shelter,,false,
DRK Kreisverband Mannheim,Support with Paperwork,,false,
