uid,role,description,hidden,controller,function,table,uacl,oacl,entity
ANONYMOUS,Anonymous,Unauthenticated users,,gis,display_feature,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,geocode_r,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,hdata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,ldata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,org,organisation,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,gis_location,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_organisation,READ,,
AUTHENTICATED,Authenticated,,,gis,location,,CREATE|READ,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,gis,,,READ,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,hrm,group,,NONE,,
AUTHENTICATED,Authenticated,,,hrm,index,,NONE,,
AUTHENTICATED,Authenticated,,,hrm,person,,NONE,READ,
AUTHENTICATED,Authenticated,,,hrm,staff,,NONE,,
AUTHENTICATED,Authenticated,,,hrm,,,NONE,,
AUTHENTICATED,Authenticated,,,msg,search,,READ,,
AUTHENTICATED,Authenticated,,,org,,,NONE,,
AUTHENTICATED,Authenticated,,,pr,pentity,,READ,,
AUTHENTICATED,Authenticated,,,pr,person,,NONE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,pr,person_search,,READ,,
AUTHENTICATED,Authenticated,,,pr,,,CREATE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,,doc_document,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,gis_location,READ|CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,hrm_job_title,READ,,
AUTHENTICATED,Authenticated,,,,,org_facility_type,READ,,
AUTHENTICATED,Authenticated,,,,,org_organisation_type,READ,,
AUTHENTICATED,Authenticated,,,,,org_sector,READ,,
AUTHENTICATED,Authenticated,,,,,org_sector_organisation,READ,,
AUTHENTICATED,Authenticated,,,,,org_site_facility_type,READ,,
AUTHENTICATED,Authenticated,,,,,pr_address,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_contact,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_contact_emergency,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_filter,,READ,
AUTHENTICATED,Authenticated,,,,,pr_person,NONE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_person_details,CREATE,READ|UPDATE|DELETE,
NEWSLETTER_AUTHOR,Newsletter Author,,,cms,,,READ,,
NEWSLETTER_AUTHOR,Newsletter Author,,,cms,newsletter,,CREATE|READ|UPDATE|DELETE,,
NEWSLETTER_AUTHOR,Newsletter Author,,,cms,newsletter,,READ|DELETE,,any
NEWSLETTER_AUTHOR,Newsletter Author,,,,,cms_newsletter,CREATE|READ|UPDATE|DELETE,,
NEWSLETTER_AUTHOR,Newsletter Author,,,,,cms_newsletter,NONE,,any
NEWSLETTER_AUTHOR,Newsletter Author,,,,,cms_newsletter_recipient,CREATE|READ|DELETE,,any
NEWSLETTER_AUTHOR,Newsletter Author,,,,,pr_filter,,READ,
ORG_ADMIN,Organisation Admin,,,admin,user,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,cms,newsletter_recipient,,UPDATE,,
ORG_ADMIN,Organisation Admin,,,cms,read_newsletter,,READ,,any
ORG_ADMIN,Organisation Admin,,,hrm,person,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,hrm,staff,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,org,,,READ,,
ORG_ADMIN,Organisation Admin,,,org,organisation,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,cms_newsletter,READ,,any
ORG_ADMIN,Organisation Admin,,,,,cms_newsletter_recipient,READ,,
ORG_ADMIN,Organisation Admin,,,,,hrm_human_resource,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,org_facility,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,org_office,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,org_organisation,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,,,org_sector_organisation,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_address,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_contact,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_contact_emergency,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_person,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,,,pr_person_details,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,false,org,organisation,,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,,,,org_organisation,CREATE|READ|UPDATE|DELETE,,
SHELTER_MANAGER,Shelter Manager,,,cr,,,READ,,
SHELTER_MANAGER,Shelter Manager,,,cr,shelter,,CREATE|READ|UPDATE|DELETE,,
SHELTER_MANAGER,Shelter Manager,,,,,cr_shelter,CREATE|READ|UPDATE|DELETE,,
